"Date","Price","Open","High","Low","Vol.","Change %"
"09/16/2015","168.94","169.49","169.95","168.78","2.85K","-0.55%"
"09/15/2015","169.88","169.81","170.10","169.61","2.39K","-0.09%"
"09/14/2015","170.04","169.92","170.60","169.92","0.48K","0.08%"
"09/11/2015","169.91","170.29","170.58","170.00","0.23K","-0.11%"
"09/10/2015","170.10","171.16","171.33","170.91","0.05K","-0.77%"
"09/09/2015","171.42","171.13","171.49","170.94","1.06K","0.13%"
"09/08/2015","171.19","171.51","171.88","171.25","0.94K","-0.47%"
"09/07/2015","172.00","172.12","172.12","171.29","0.21K","-0.66%"
"09/04/2015","173.14","172.82","173.33","172.82","0.09K","0.12%"
"09/03/2015","172.93","172.91","173.23","172.65","0.08K","1.01%"
