"Date","Price","Open","High","Low","Vol.","Change %"
"01/06/2023","155.71","154.50","155.32","154.24","2.05K","0.77%"
"01/05/2023","154.52","154.49","154.99","153.99","4.71K","-0.23%"
"01/04/2023","154.88","154.77","154.95","154.10","2.70K","0.95%"
"01/03/2023","153.43","152.02","153.72","151.93","2.69K","0.55%"
"01/02/2023","152.59","151.43","152.85","151.43","1.37K","0.91%"
"12/30/2022","151.22","152.14","152.15","151.43","0.73K","-0.88%"
"12/29/2022","152.56","152.03","152.56","151.74","2.62K","0.53%"
"12/28/2022","151.76","151.90","152.26","151.70","0.54K","0.05%"
"12/27/2022","151.68","152.65","152.67","151.68","2.93K","-0.94%"
"12/23/2022","153.12","153.54","153.54","152.79","8.00K","-0.18%"
"12/22/2022","153.39","154.00","154.25","153.20","3.86K","-0.42%"
"12/21/2022","154.03","154.17","154.36","153.87","1.98K","0.01%"
"12/20/2022","154.01","154.34","154.53","153.84","3.92K","-0.75%"
"12/19/2022","155.17","155.53","155.69","154.86","5.19K","-0.33%"
"12/16/2022","155.69","155.50","155.69","154.80","2.68K","-0.64%"
"12/15/2022","156.69","158.96","159.25","156.69","4.64K","-1.61%"
"12/14/2022","159.25","159.59","159.59","158.60","3.33K","-0.29%"
"12/13/2022","159.72","159.24","160.62","158.83","5.22K","0.31%"
"12/12/2022","159.22","159.50","160.01","159.19","1.79K","-0.22%"
"12/09/2022","159.57","160.59","160.59","159.15","3.17K","-0.76%"
"12/08/2022","160.80","161.51","161.52","160.76","0.54K","-0.44%"
"12/07/2022","161.51","161.59","161.59","160.80","7.02K","0.26%"
"12/06/2022","161.09","160.08","161.14","160.08","9.04K","0.63%"
"12/05/2022","160.08","160.47","160.82","159.90","4.75K","-0.11%"
"12/02/2022","160.26","161.11","161.54","160.14","1.71K","-0.39%"
"12/01/2022","160.89","160.08","161.07","160.08","1.30K","1.07%"
"11/30/2022","159.18","159.22","159.38","158.85","8.52K","-0.26%"
"11/29/2022","159.60","159.72","160.06","159.11","2.71K","0.72%"
"11/28/2022","158.46","159.36","159.46","158.21","4.83K","-0.30%"
"11/25/2022","158.93","160.36","160.38","158.73","3.94K","-1.10%"
"11/24/2022","160.70","160.31","161.14","160.31","2.34K","0.65%"
"11/23/2022","159.66","158.30","159.90","158.16","2.22K","0.56%"
"11/22/2022","158.77","158.31","159.03","158.27","6.78K","-0.08%"
"11/21/2022","158.89","158.45","159.17","158.00","2.45K","0.20%"
"11/18/2022","158.58","158.08","158.75","157.49","3.91K","0.32%"
"11/17/2022","158.08","159.00","159.00","158.00","3.22K","-0.21%"
"11/16/2022","158.42","157.11","158.50","157.02","6.29K","0.68%"
"11/15/2022","157.35","156.44","157.65","156.29","8.41K","0.78%"
