"Date","Price","Open","High","Low","Vol.","Change %"
"11/29/2010","102.70","101.38","102.81","101.28","35.50K","1.68%"
"11/26/2010","101.00","101.56","101.98","100.66","50.50K","-0.36%"
"11/25/2010","101.36","101.35","101.73","101.19","26.26K","0.27%"
"11/24/2010","101.09","101.23","102.33","100.76","87.90K","0.09%"
"11/23/2010","101.00","98.30","101.50","98.30","63.66K","3.09%"
"11/22/2010","97.97","97.80","98.00","97.41","45.08K","0.44%"
"11/19/2010","97.54","97.88","98.02","96.97","20.28K","-0.82%"
"11/18/2010","98.35","98.39","98.42","97.67","34.55K","0.62%"
"11/17/2010","97.74","97.13","98.20","97.13","43.98K","0.00%"
"11/16/2010","97.74","98.96","98.96","97.54","59.85K","-1.74%"
"11/15/2010","99.47","98.63","99.62","98.49","30.93K","0.32%"
"11/12/2010","99.15","100.02","100.45","98.94","67.03K","-1.99%"
"11/11/2010","101.16","100.70","101.87","100.70","74.88K","1.18%"
"11/10/2010","99.98","100.18","100.69","99.79","70.90K","-0.79%"
"11/09/2010","100.78","99.50","100.89","99.50","84.13K","1.76%"
"11/08/2010","99.04","98.00","99.00","97.57","50.91K","1.50%"
"11/05/2010","97.58","93.51","97.93","92.80","82.17K","2.04%"
"11/04/2010","95.63","94.65","95.80","94.26","38.00K","1.71%"
"11/03/2010","94.02","95.25","95.82","93.61","52.30K","-1.05%"
"11/02/2010","95.02","96.01","96.01","95.03","38.24K","-1.10%"
"11/01/2010","96.08","96.16","96.40","96.00","6.36K","0.43%"
"10/29/2010","95.67","95.14","96.50","95.14","29.66K","0.56%"
"10/28/2010","95.14","94.20","95.22","94.20","16.95K","0.43%"
"10/27/2010","94.73","95.27","95.27","94.63","51.52K","-0.27%"
"10/26/2010","94.99","94.63","95.08","94.30","15.17K","0.70%"
"10/25/2010","94.33","94.39","94.72","94.11","63.85K","0.60%"
"10/22/2010","93.77","94.21","94.21","93.35","64.10K","-0.71%"
"10/21/2010","94.44","94.91","94.93","94.28","41.54K","-0.48%"
"10/20/2010","94.90","95.83","95.85","94.75","18.43K","-0.98%"
"10/19/2010","95.84","96.95","97.05","95.27","55.84K","-0.97%"
"10/18/2010","96.78","96.83","96.91","96.49","52.37K","0.27%"
"10/15/2010","96.52","96.67","96.70","95.95","34.69K","0.16%"
"10/14/2010","96.37","96.94","97.08","96.28","78.64K","-0.43%"
"10/13/2010","96.79","95.87","97.20","95.50","71.27K","0.79%"
"10/12/2010","96.03","95.93","96.39","95.93","52.12K","0.36%"
"10/11/2010","95.69","96.10","96.95","94.93","46.32K","0.20%"
"10/08/2010","95.50","94.24","95.59","94.22","36.04K","1.02%"
"10/07/2010","94.54","95.83","96.26","94.30","101.32K","-1.14%"
"10/06/2010","95.63","96.08","96.08","95.60","55.96K","0.17%"
"10/05/2010","95.47","94.88","95.50","94.85","70.37K","0.65%"
"10/04/2010","94.85","94.69","95.01","94.55","20.27K","0.29%"
"10/01/2010","94.58","94.58","94.77","94.24","31.90K","0.12%"
"09/30/2010","94.47","95.11","95.18","94.29","40.15K","-0.50%"
"09/29/2010","94.94","95.13","95.17","94.59","34.82K","-0.07%"
"09/28/2010","95.01","95.06","95.19","94.22","35.91K","0.08%"
"09/27/2010","94.93","95.20","95.31","94.94","35.51K","0.23%"
"09/24/2010","94.71","95.89","96.07","94.70","52.69K","-1.23%"
"09/23/2010","95.89","95.16","95.85","95.16","26.56K","0.90%"
"09/22/2010","95.03","95.66","95.93","94.84","35.67K","-1.00%"
"09/21/2010","95.99","96.35","96.35","95.76","22.71K","-0.74%"
"09/20/2010","96.71","96.66","96.93","96.41","18.98K","0.35%"
"09/17/2010","96.37","96.23","96.73","96.09","39.49K","0.28%"
"09/16/2010","96.10","96.18","96.41","95.81","35.79K","-0.17%"
"09/15/2010","96.26","96.56","96.77","96.10","26.15K","-0.31%"
"09/14/2010","96.56","95.93","97.16","95.82","39.82K","1.13%"
"09/13/2010","95.48","96.06","96.06","95.39","41.68K","-1.40%"
"09/10/2010","96.84","96.20","97.03","96.16","32.05K","-0.03%"
"09/09/2010","96.87","97.67","97.75","96.80","67.26K","-0.65%"
"09/08/2010","97.50","97.74","98.13","97.15","38.67K","-0.03%"
"09/07/2010","97.53","96.00","97.55","95.00","248.81K","1.88%"
"09/06/2010","95.73","95.43","95.82","95.41","14.11K","0.10%"
"09/03/2010","95.63","96.37","96.43","94.60","41.05K","-0.79%"
"09/02/2010","96.39","96.02","96.42","95.83","26.23K","0.40%"
"09/01/2010","96.01","96.98","97.13","95.73","30.99K","-0.87%"
"08/31/2010","96.85","96.63","96.97","95.96","50.92K","0.73%"
"08/30/2010","96.15","95.90","96.32","95.83","33.74K","0.12%"
"08/27/2010","96.03","96.07","96.40","95.76","102.43K","-0.24%"
"08/26/2010","96.26","96.33","96.70","95.79","72.85K","-0.34%"
"08/25/2010","96.59","96.13","96.82","95.69","52.64K","0.64%"
